,rest_name,locality,rating,cuisines,cost_for_two,votes
1001,Sunrise Restaurant                                     ,Kalupur,3.4,"['North Indian', 'South Indian', 'Chinese']",300,101
1002,Aman Pizza & Sandwich                                     ,Paldi,3.9,['Fast Food'],250,126
1003,Swaminarayan Dining Hall                                     ,Chandkheda,3.3,['Gujarati'],150,102
1004,Belgians Waffle                                     ,Gurukul,3.7,"['Desserts', 'Beverages']",300,68
1005,Nimantran Fast Food                                     ,Vejalpur,3.6,['North Indian'],400,138
1006,Tuli's Restaurant                                     ,"Vittal Mall, Chandkheda",3.4,"['North Indian', 'Chinese', 'Bengali', 'Mughlai', 'Biryani']",500,76
1007,Palatine Restaurant & Banquet                                     ,Thaltej,3.6,"['North Indian', 'Italian', 'Mexican', 'South Indian']",700,75
1008,Seasalt Cafe                                     ,Bopal,3.9,['Cafe'],500,62
1009,Helly & Chilly - Cafe De Eiffellio                                     ,Naroda,3.5,"['Cafe', 'Fast Food', 'Beverages']",550,76
1010,1441 Pizzeria                                     ,Gulbai Tekra,3.5,"['Fast Food', 'Beverages', 'Desserts', 'Pizza']",600,62
1011,Real Sugar And Spices                                     ,Paldi,3.9,"['Fast Food', 'Italian', 'Desserts']",500,85
1012,Hungers Wings Pizza & Cafe                                     ,Bopal,3.8,"['Pizza', 'Fast Food']",450,83
1013,Cafe Patio - Hotel Binori                                     ,"Hotel Binori, Thaltej",3.8,"['Italian', 'North Indian', 'Continental']","1,500",72
1014,Jay Jalaram Parotha House                                     ,Navrangpura,2.8,"['North Indian', 'Gujarati']",200,99
1015,Rash Cafe                                     ,Bodakdev,3.7,['Fast Food'],400,60
1016,Kerala Food Corner                                     ,Sabarmati,3.8,['South Indian'],300,106
1017,Captown                                     ,Naranpura,3.6,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",550,115
1018,Shree Akshar Restaurant & Hotel                                     ,Shahibagh,3.7,"['North Indian', 'Chinese', 'Fast Food']",550,96
1019,Urban Twist                                     ,Gota,3.7,"['Mexican', 'Italian', 'Wraps']",600,94
1020,Waseem Raja Restaurant                                     ,Subhash Bridge,3.8,"['Chinese', 'North Indian']",700,97
1021,Shivshakti Dhaba                                     ,Satellite,3.6,"['North Indian', 'Gujarati', 'Rajasthani', 'Chinese']",400,96
1022,The Kitchen                                     ,Airport Gandhinagar Highway,3.7,"['North Indian', 'Fast Food', 'Chinese']",400,90
1023,Bana Bhatiyar Khana                                     ,Kalupur,3.8,"['North Indian', 'Mughlai']",500,97
1024,Shiv Restaurant                                     ,Bopal,3.8,"['Gujarati', 'North Indian']",450,112
1025,Bawarchee                                     ,Thaltej,3.8,"['North Indian', 'Chinese', 'Mexican', 'Continental']","1,200",89
1026,250 ML - The Cafe                                     ,Navrangpura,3.7,['Cafe'],350,64
1027,Yummy Fast Food Corner                                     ,Mani Nagar,3.2,['North Indian'],400,97
1028,Ame Gujarati                                     ,Ambavadi,2.6,['Gujarati'],300,94
1029,Planet Popcorn                                     ,"Venus Atlantis, Prahlad Nagar",3.4,['Fast Food'],200,73
